"","Product Line","Date","Cycle Time Hrs","Yield","Supplier Quality","Units per Day","Capacity Utilization","Overall Equipment Effectiveness","Health and Safety Incident Rate","Environmental Incident Rate","Downtime Rate","Time to Innovate Days","Cost Per Unit USD","Energy Cost Per Unit USD","Customer Fill Rate"
1,product line 302,2016-06-22 20:51:08,52.8433100783164,0.826415395436493,0.895776556693413,219,0.891444111909442,0.752824372274539,0.0103604058315158,0.0107665189375109,0.0053073785998411,22.3868901919604,34.6344745128159,3.40518296387715,0.894635113569456
2,product line 561,2016-08-01 21:18:32,52.0835044397066,0.797137969383151,0.853960264342586,243,0.808535738860549,0.823573905667128,0.010010564640351,0.0129837800053293,0.00536048422053067,28.8078359026372,28.4713437700511,3.38751162241908,0.881763544294067
3,product line 403,2016-07-05 17:52:27,47.3867824616575,0.769628994953225,0.831067146234464,234,0.769058522517546,0.785711432281977,0.00995826160956094,0.0109043581970951,0.00220556065346455,39.6430424218848,35.628723496108,3.70757553416679,0.801037292751421
4,product line 256,2016-03-30 21:54:09,46.4724131211483,0.842026607773265,0.856157561369894,220,0.834697420310607,0.768105887431981,0.0107023982740129,0.0106591777907211,0.00534242354163202,34.9850094177428,31.9488826383061,3.06160179231297,0.910435949297063
5,product line 537,2016-06-02 04:39:22,60.7219441726651,0.726861372559024,0.839225897787771,166,0.858085538324502,0.789730097170239,0.00670846716248744,0.00909089091049891,0.00431902187816611,29.766863486612,32.5660199639865,2.75813784011932,0.87027971207891
6,product line 403,2016-07-29 10:01:31,33.4596965643723,0.761557323322239,0.83905679461762,357,0.845989274005861,0.838608905200779,0.0126273266287253,0.00903195270717391,0.00443168585716573,36.4545428560272,33.2135433452753,3.40821120270565,0.851042925648111
7,product line 456,2016-08-16 17:14:41,33.5072698359936,0.765158195995954,0.852379082557337,294,0.90086505973593,0.788210916497332,0.0116583076645106,0.00964821730508219,0.00631016928398506,26.1543338171216,25.2388062541038,3.11351736033501,0.883021903364411
8,product line 562,2016-06-10 14:01:55,50.085053326637,0.790958313749193,0.831022035561931,316,0.758617934320242,0.837186420945984,0.0108687480890278,0.00915728942134277,0.00534295495039538,29.3430395314712,24.7795598651436,3.12663160907214,0.901645480932116
9,product line 414,2016-05-29 03:57:40,51.6503466960516,0.826857244044696,0.867437408722408,190,0.812255695430226,0.754296885085918,0.00933932978991299,0.0119621027685972,0.00504203414217989,30.8125617720246,29.627797046784,3.12301151460322,0.879469281768224
10,product line 411,2016-06-29 00:37:09,53.3479728456405,0.883904082177526,0.927175220054926,229,0.796897981170578,0.739177686101236,0.0107368534849579,0.0109640408541976,0.00548319190226582,17.5437842468371,32.5800614881445,3.60435939875798,0.88332891428593
11,product line 500,2016-05-31 03:43:02,49.3905738027345,0.800417853752593,0.838029069170817,340,0.790977109030022,0.818444433954155,0.0126883813076084,0.00662033601904025,0.00566706647284655,27.3874584302353,29.2455236756051,3.26754919308035,0.903162901050726
12,product line 423,2016-07-09 09:23:11,43.4087860284295,0.775116202725184,0.878710796829023,181,0.861831664890334,0.799291756460152,0.00662373048456163,0.0132546788021479,0.00503406323189145,23.5496689843681,25.4018747545728,2.98766618286328,0.892079542589967
13,product line 387,2016-04-29 04:47:32,41.4185218943612,0.860341010310883,0.901636405525394,247,0.768347664759909,0.740402541514008,0.0109217488674834,0.00976916806082597,0.00379344158929334,46.865169101853,42.4707235930462,2.87328077233056,0.807327964983831
14,product line 386,2016-06-30 07:56:40,45.9625044735901,0.822730019989876,0.861590041119399,224,0.838847788630036,0.772052734681869,0.0104244072016588,0.0136721742430242,0.00519547611828744,35.3171312596278,29.5060725689099,3.18537959662278,0.875384974532076
